DS_CARGO;NR_CANDIDATO;NM_CANDIDATO
DEPUTADO DISTRITAL;33190;ULISSES DA COSTA DIAS
DEPUTADO DISTRITAL;44007;LUCIJAINE VILAR DA SILVA
DEPUTADO DISTRITAL;11234;VALDELINO RODRIGUES BARCELOS
DEPUTADO DISTRITAL;77200;IPAMINONA RODRIGUIS DA SILVA
DEPUTADO DISTRITAL;77321;NEWTON BARBOSA DA CONCEICAO
DEPUTADO DISTRITAL;25001;HELVDIO NUNES DE BARROS NETO
DEPUTADO DISTRITAL;15333;TARIK INVERNIZZI
DEPUTADO DISTRITAL;15156;FERNANDA MATEUS COSTA MELO
DEPUTADO DISTRITAL;15500;DILSON RESENDE DE ALMEIDA
DEPUTADO FEDERAL;3033;ELAYNE CRISTINA CACHEN GUIMARES PINHEIRO RATTES
DEPUTADO FEDERAL;3036;MARIA APARECIDA VILLAS BAS
DEPUTADO FEDERAL;1011;GILVAM MAXIMO
DEPUTADO FEDERAL;5005;LUDMILA WEIZMANN SUAID LEVYSKI
DEPUTADO FEDERAL;1801;MARIA CLEUDES PESSOA
DEPUTADO FEDERAL;7777;MARIA GERCIANE DA CONCEIO LIMA
DEPUTADO FEDERAL;7733;GABRIEL PORTELLA FAGUNDES NETO
DEPUTADO FEDERAL;2020;LUIZ CLAUDIO FREIRE DE SOUZA FRANCA
DEPUTADO FEDERAL;2033;KLEBSON FRANCISCO DOS SANTOS
DEPUTADO FEDERAL;3322;WESTHARLLEY DANIEL DE SOUZA RAPOSO
DEPUTADO FEDERAL;3332;ISAURINETE BARBOSA DE MIRANDA
DEPUTADO FEDERAL;2323;ROBERTO JOO PEREIRA FREIRE
DEPUTADO FEDERAL;1234;RAFAEL DE CARVALHO PULLEN PARENTE
DEPUTADO FEDERAL;2211;PAULO ULISSIS BATISTA LIMA
DEPUTADO FEDERAL;2220;AGACIEL DA SILVA MAIA
DEPUTADO FEDERAL;1331;MARCIA ABRAHAO MOURA
DEPUTADO FEDERAL;3525;STEPHANIE ALVES GAMA DE SOUZA
DEPUTADO FEDERAL;7007;JEAN VICTOR CHAVES PORTELA
DEPUTADO FEDERAL;5577;JLIO CESAR FLORENCIO ISIDRO
DEPUTADO FEDERAL;4004;ISRAEL MATOS BATISTA
DEPUTADO FEDERAL;4040;RODRIGO SOBRAL ROLLEMBERG
DEPUTADO FEDERAL;2700;ELIZEU PINTO COSTA
DEPUTADO FEDERAL;2777;IVONE LOPES DE CARVALHO
DEPUTADO FEDERAL;1515;RAFAEL CAVALCANTI PRUDENTE
DEPUTADO DISTRITAL;18123;BARTIRIA MONTEIRO DE BRITO
DEPUTADO DISTRITAL;30888;NOEMIA TIAGO BISPO DOS SANTOS
DEPUTADO DISTRITAL;30303;CRISLEIDE MOURO DOS SANTOS
DEPUTADO DISTRITAL;30456;ALEX DE JESUS OLIVEIRA
DEPUTADO DISTRITAL;30999;LVARO MOREIRA DOMINGUES JNIOR
DEPUTADO DISTRITAL;14444;JACQUELINE MILA TIROTTI
DEPUTADO DISTRITAL;14114;MATHEUS MARQUES
DEPUTADO DISTRITAL;14777;TANIEL COSTA MACEDO
DEPUTADO DISTRITAL;14441;JANDERSON AGUIAR DE AZEVEDO
DEPUTADO DISTRITAL;27500;JOAO BENEDITO SANTAREM DE BRITO
DEPUTADO DISTRITAL;27300;REINALDO BATISTA ARAUJO
DEPUTADO DISTRITAL;35135;MARILDA ANTONIO DIAS
DEPUTADO DISTRITAL;35017;ANDREIA FERREIRA ALVES
DEPUTADO DISTRITAL;35555;LUIS CLAUDIO FERNANDES MIRANDA
DEPUTADO DISTRITAL;35100;ALCIVANIO SOARES BOMFIM DE ARAUJO
DEPUTADO DISTRITAL;40200;RAPHAEL SEBBA DAHER FLEURY CURADO
DEPUTADO DISTRITAL;40333;DINAYARA DA PAIXAO LACERDA
DEPUTADO DISTRITAL;40061;MCIO BOTELHO DE OLIVEIRA
DEPUTADO DISTRITAL;12369;LUCIMAR ALVES MARTINS
DEPUTADO DISTRITAL;12061;MERCIONE JOSE DA SILVA
DEPUTADO DISTRITAL;12333;ARILSON FRANCISCO DE OLIVEIRA
DEPUTADO DISTRITAL;12126;MARA LCIA AMORIM MARAL
DEPUTADO DISTRITAL;10060;MARCIA HELENA DE AMORIM RUELA KOHN CARNIER
DEPUTADO DISTRITAL;10987;CRISTIANE GEISS NARDES FARINON
DEPUTADO DISTRITAL;10888;DENISE MARIA DE FRANCO SOUZA
DEPUTADO DISTRITAL;10789;RENATA MESQUITA D AGUIAR
DEPUTADO DISTRITAL;22822;ANA LUIZA DUARTE DA CUNHA
DEPUTADO DISTRITAL;22010;KELLEN MARGARETH PERES PAMPLONA GUERRA
DEPUTADO DISTRITAL;22123;ALESSANDRO FABRICIO CLEMENTE PAIVA
DEPUTADO DISTRITAL;13013;RICARDO VALE DA SILVA
DEPUTADO DISTRITAL;43000;EDUARDO DUTRA BRANDAO CAVALCANTI
DEPUTADO DISTRITAL;45222;BENEDITO AARO SALES DE ARAJO
DEPUTADO DISTRITAL;45130;MARIA DUCLERIO BRAZILINO DA SILVA
DEPUTADO DISTRITAL;45755;LUCILENE ANA FERNANDES
DEPUTADO DISTRITAL;45333;ROBERTO EUSTAQUIO INACIO VIEIRA
DEPUTADO DISTRITAL;55661;JONATHAN LIMA DE ARAJO
DEPUTADO DISTRITAL;55500;MARIA DE FATIMA RIBEIRO C
DEPUTADO DISTRITAL;55555;JORDENES FERREIRA DA SILVA
DEPUTADO DISTRITAL;55123;BERNARDO ROGERIO MATA DE ARAUJO JUNIOR
DEPUTADO DISTRITAL;55111;ANDERSON JOSE DA SILVA TEIXEIRA
DEPUTADO DISTRITAL;20190;GERALDO BATISTA ALVES DE SOUSA
DEPUTADO DISTRITAL;20200;SUZELE VELOSO DE OLIVEIRA
DEPUTADO DISTRITAL;20088;PRISCILA ALCANFOR BACCILE
DEPUTADO DISTRITAL;20226;PAULO ROBERTO SANTOS DA CUNHA
DEPUTADO DISTRITAL;20333;ADERIVALDO MARTINS CARDOSO
DEPUTADO DISTRITAL;20123;ANA PAULA SOARES MARRA
DEPUTADO DISTRITAL;33180;DEISE LUCI BELEM DE ANDRADE
